Id;País;ano;Quantidade (Kg)
1;Africa do Sul;1970;0
2;Alemanha;1970;52297
3;Argélia;1970;0
4;Arábia Saudita;1970;0
5;Argentina;1970;19525
6;Armênia;1970;0
7;Austrália;1970;0
8;Áustria;1970;1328
9;Bermudas;1970;0
10;Bélgica;1970;0
11;Bolívia;1970;0
12;Bósnia-Herzegovina;1970;0
13;Brasil;1970;0
14;Bulgária;1970;0
15;Canada;1970;0
16;Chile;1970;162370
17;China;1970;0
18;Coreia do Sul, República;1970;0
19;Croácia;1970;0
20;Cuba;1970;0
21;Emirados Árabes Unidos;1970;0
22;Eslovênia;1970;0
23;Eslováquia;1970;0
24;Espanha;1970;261126
25;Estados Unidos;1970;0
26;França;1970;91544
27;Geórgia;1970;0
28;Geórgia do Sul e Sandwich do Sul, Ilhas;1970;0
29;Grécia;1970;0
30;Hong Kong;1970;0
31;Hungria;1970;0
32;Indonésia;1970;0
33;Irlanda;1970;0
34;Israel;1970;0
35;Itália;1970;58802
36;Japão;1970;0
37;Iugoslávia;1970;702
38;Líbano;1970;0
39;Luxemburgo;1970;0
40;Macedônia;1970;0
41;Marrocos;1970;0
42;México;1970;0
43;Moldávia;1970;0
44;Montenegro;1970;0
45;Noruega;1970;0
46;Nova Zelândia;1970;0
47;Países Baixos (Holanda);1970;0
48;Panamá;1970;0
49;Paraguai;1970;0
50;Peru;1970;0
51;Porto Rico;1970;0
52;Portugal;1970;785609
53;Reino Unido;1970;0
54;Republica Dominicana;1970;0
55;Romênia;1970;0
56;Rússia;1970;0
57;San Marino;1970;0
58;Sérvia;1970;0
59;Síria;1970;0
60;Suazilândia;1970;0
61;Suíça;1970;0
62;Tcheca, República;1970;0
63;Tunísia;1970;0
64;Turquia;1970;0
65;Ucrânia;1970;0
66;Uruguai;1970;5767
67;Não consta na tabela;1970;0
68;Não declarados;1970;0
69;Outros;1970;5508
1;Africa do Sul;1970;0
2;Alemanha;1970;30498
3;Argélia;1970;0
4;Arábia Saudita;1970;0
5;Argentina;1970;12260
6;Armênia;1970;0
7;Austrália;1970;0
8;Áustria;1970;707
9;Bermudas;1970;0
10;Bélgica;1970;0
11;Bolívia;1970;0
12;Bósnia-Herzegovina;1970;0
13;Brasil;1970;0
14;Bulgária;1970;0
15;Canada;1970;0
16;Chile;1970;101819
17;China;1970;0
18;Coreia do Sul, República;1970;0
19;Croácia;1970;0
20;Cuba;1970;0
21;Emirados Árabes Unidos;1970;0
22;Eslovênia;1970;0
