Id;País;ano;Quantidade (Kg)
27;Israel;1983;270
28;Itália;1983;9000
29;Japão;1983;0
30;Luxemburgo;1983;0
31;México;1983;0
32;Moldávia;1983;0
33;Nova Zelândia;1983;0
34;Países Baixos;1983;0
35;Panamá;1983;0
36;Peru;1983;0
37;Portugal;1983;231759
38;Reino Unido;1983;0
39;Romênia;1983;0
40;Suíça;1983;0
41;Tunísia;1983;0
42;Ucrânia;1983;0
43;Uruguai;1983;0
44;Não consta na tabela;1983;0
45;Não declarados;1983;0
46;Outros;1983;1188
1;Africa do Sul;1983;0
2;Alemanha;1983;193026
3;Argentina;1983;0
4;Austrália;1983;0
5;Áustria;1983;0
6;Bermudas;1983;0
7;Bahamas;1983;0
8;Bélgica;1983;0
9;Brasil;1983;0
10;Bulgária;1983;0
11;Canada;1983;0
12;Chile;1983;1650
13;Croácia;1983;0
14;Cuba;1983;0
15;Emirados Árabes Unidos;1983;0
16;Eslovênia;1983;0
17;Espanha;1983;18043
18;Estados Unidos;1983;0
19;França;1983;45318
20;Geórgia;1983;0
21;Granada;1983;0
22;Grécia;1983;0
23;Hong Kong;1983;0
24;Hungria;1983;0
25;Indonésia;1983;0
26;Irlanda;1983;0
27;Israel;1983;749
28;Itália;1983;7645
29;Japão;1983;0
30;Luxemburgo;1983;0
31;México;1983;0
32;Moldávia;1983;0
33;Nova Zelândia;1983;0
34;Países Baixos;1983;0
35;Panamá;1983;0
36;Peru;1983;0
37;Portugal;1983;274033
38;Reino Unido;1983;0
39;Romênia;1983;0
40;Suíça;1983;0
41;Tunísia;1983;0
42;Ucrânia;1983;0
43;Uruguai;1983;0
44;Não consta na tabela;1983;0
45;Não declarados;1983;0
46;Outros;1983;8588
1;Africa do Sul;1984;0
2;Alemanha;1984;3360
3;Argentina;1984;0
4;Austrália;1984;0
5;Áustria;1984;0
6;Bermudas;1984;0
7;Bahamas;1984;0
8;Bélgica;1984;0
9;Brasil;1984;0
10;Bulgária;1984;0
11;Canada;1984;0
12;Chile;1984;4200
13;Croácia;1984;0
14;Cuba;1984;0
15;Emirados Árabes Unidos;1984;0
16;Eslovênia;1984;0
17;Espanha;1984;12824
18;Estados Unidos;1984;0
19;França;1984;11308
20;Geórgia;1984;0
21;Granada;1984;0
22;Grécia;1984;0
23;Hong Kong;1984;0
24;Hungria;1984;0
25;Indonésia;1984;0
26;Irlanda;1984;0
27;Israel;1984;720
28;Itália;1984;2430
29;Japão;1984;0
30;Luxemburgo;1984;0
31;México;1984;4158
32;Moldávia;1984;0
33;Nova Zelândia;1984;0
34;Países Baixos;1984;0
35;Panamá;1984;0
36;Peru;1984;0
37;Portugal;1984;126855
38;Reino Unido;1984;0
39;Romênia;1984;0
40;Suíça;1984;0
41;Tunísia;1984;0
42;Ucrânia;1984;0
43;Uruguai;1984;0
44;Não consta na tabela;1984;0
45;Não declarados;1984;0
46;Outros;1984;1080
1;Africa do Sul;1984;0
2;Alemanha;1984;3130
3;Argentina;1984;0
4;Austrália;1984;0
5;Áustria;1984;0
6;Bermudas;1984;0
7;Bahamas;1984;0
8;Bélgica;1984;0
9;Brasil;1984;0
10;Bulgária;1984;0
11;Canada;1984;0
12;Chile;1984;5500
13;Croácia;1984;0
14;Cuba;1984;0
15;Emirados Árabes Unidos;1984;0
16;Eslovênia;1984;0
17;Espanha;1984;13110
18;Estados Unidos;1984;0
19;França;1984;37594
20;Geórgia;1984;0
21;Granada;1984;0
22;Grécia;1984;0
23;Hong Kong;1984;0
24;Hungria;1984;0
25;Indonésia;1984;0
26;Irlanda;1984;0
27;Israel;1984;1880
28;Itália;1984;1917
29;Japão;1984;0
30;Luxemburgo;1984;0
31;México;1984;6060
32;Moldávia;1984;0
33;Nova Zelândia;1984;0
34;Países Baixos;1984;0
35;Panamá;1984;0
36;Peru;1984;0
37;Portugal;1984;136371
38;Reino Unido;1984;0
39;Romênia;1984;0
40;Suíça;1984;0
41;Tunísia;1984;0
42;Ucrânia;1984;0
43;Uruguai;1984;0
44;Não consta na tabela;1984;0
45;Não declarados;1984;0
46;Outros;1984;7152
1;Africa do Sul;1985;0
2;Alemanha;1985;0
3;Argentina;1985;0
4;Austrália;1985;0
5;Áustria;1985;0
6;Bermudas;1985;0
7;Bahamas;1985;0
8;Bélgica;1985;0
9;Brasil;1985;0
10;Bulgária;1985;0
11;Canada;1985;0
12;Chile;1985;0
13;Croácia;1985;0
14;Cuba;1985;0
15;Emirados Árabes Unidos;1985;0
16;Eslovênia;1985;0
17;Espanha;1985;19005
18;Estados Unidos;1985;0
19;França;1985;35317
20;Geórgia;1985;0
21;Granada;1985;0
22;Grécia;1985;0
23;Hong Kong;1985;0
24;Hungria;1985;0
25;Indonésia;1985;0
26;Irlanda;1985;0
27;Israel;1985;0
28;Itália;1985;12456
29;Japão;1985;0
30;Luxemburgo;1985;0
31;México;1985;0
32;Moldávia;1985;0
33;Nova Zelândia;1985;0
34;Países Baixos;1985;0
35;Panamá;1985;0
36;Peru;1985;0
37;Portugal;1985;245613
38;Reino Unido;1985;0
39;Romênia;1985;0
40;Suíça;1985;0
41;Tunísia;1985;0
42;Ucrânia;1985;0
43;Uruguai;1985;0
44;Não consta na tabela;1985;0
45;Não declarados;1985;0
46;Outros;1985;450
1;Africa do Sul;1985;0
2;Alemanha;1985;0
3;Argentina;1985;0
4;Austrália;1985;0
5;Áustria;1985;0
6;Bermudas;1985;0
7;Bahamas;1985;0
8;Bélgica;1985;0
9;Brasil;1985;0
10;Bulgária;1985;0
11;Canada;1985;0
12;Chile;1985;0
13;Croácia;1985;0
14;Cuba;1985;0
15;Emirados Árabes Unidos;1985;0
16;Eslovênia;1985;0
17;Espanha;1985;29323
18;Estados Unidos;1985;0
19;França;1985;118807
20;Geórgia;1985;0
21;Granada;1985;0
22;Grécia;1985;0
23;Hong Kong;1985;0
24;Hungria;1985;0
25;Indonésia;1985;0
26;Irlanda;1985;0
27;Israel;1985;0
28;Itália;1985;15821
29;Japão;1985;0
30;Luxemburgo;1985;0
31;México;1985;0
32;Moldávia;1985;0
33;Nova Zelândia;1985;0
34;Países Baixos;1985;0
35;Panamá;1985;0
36;Peru;1985;0
37;Portugal;1985;247970
38;Reino Unido;1985;0
39;Romênia;1985;0
40;Suíça;1985;0
41;Tunísia;1985;0
42;Ucrânia;1985;0
43;Uruguai;1985;0
44;Não consta na tabela;1985;0
45;Não declarados;1985;0
46;Outros;1985;700
1;Africa do Sul;1986;0
2;Alemanha;1986;32490
3;Argentina;1986;270
4;Austrália;1986;0
5;Áustria;1986;0
6;Bermudas;1986;0
7;Bahamas;1986;0
8;Bélgica;1986;0
9;Brasil;1986;0
10;Bulgária;1986;0
11;Canada;1986;0
12;Chile;1986;900
13;Croácia;1986;0
14;Cuba;1986;0
15;Emirados Árabes Unidos;1986;0
16;Eslovênia;1986;0
17;Espanha;1986;43920
18;Estados Unidos;1986;0
19;França;1986;37062
20;Geórgia;1986;0
21;Granada;1986;0
22;Grécia;1986;0
23;Hong Kong;1986;0
24;Hungria;1986;0
25;Indonésia;1986;0
26;Irlanda;1986;0
27;Israel;1986;909
28;Itália;1986;20355
29;Japão;1986;0
30;Luxemburgo;1986;0
31;México;1986;0
32;Moldávia;1986;0
33;Nova Zelândia;1986;0
34;Países Baixos;1986;0
35;Panamá;1986;0
36;Peru;1986;0
37;Portugal;1986;436485
38;Reino Unido;1986;0
39;Romênia;1986;0
40;Suíça;1986;0
41;Tunísia;1986;0
42;Ucrânia;1986;0
43;Uruguai;1986;0
44;Não consta na tabela;1986;0
45;Não declarados;1986;0
46;Outros;1986;2934
1;Africa do Sul;1986;0
2;Alemanha;1986;37388
3;Argentina;1986;990
4;Austrália;1986;0
5;Áustria;1986;0
6;Bermudas;1986;0
7;Bahamas;1986;0
8;Bélgica;1986;0
9;Brasil;1986;0
10;Bulgária;1986;0
11;Canada;1986;0
12;Chile;1986;800
13;Croácia;1986;0
14;Cuba;1986;0
15;Emirados Árabes Unidos;1986;0
16;Eslovênia;1986;0
17;Espanha;1986;67595
18;Estados Unidos;1986;0
19;França;1986;127661
20;Geórgia;1986;0
21;Granada;1986;0
22;Grécia;1986;0
23;Hong Kong;1986;0
24;Hungria;1986;0
25;Indonésia;1986;0
26;Irlanda;1986;0
27;Israel;1986;1672
28;Itália;1986;29342
29;Japão;1986;0
30;Luxemburgo;1986;0
31;México;1986;0
32;Moldávia;1986;0
33;Nova Zelândia;1986;0
34;Países Baixos;1986;0
35;Panamá;1986;0
36;Peru;1986;0
37;Portugal;1986;468813
38;Reino Unido;1986;0
39;Romênia;1986;0
40;Suíça;1986;0
41;Tunísia;1986;0
42;Ucrânia;1986;0
43;Uruguai;1986;0
44;Não consta na tabela;1986;0
45;Não declarados;1986;0
46;Outros;1986;5056
1;Africa do Sul;1987;0
2;Alemanha;1987;1800
3;Argentina;1987;0
4;Austrália;1987;0
5;Áustria;1987;0
6;Bermudas;1987;0
7;Bahamas;1987;0
8;Bélgica;1987;0
9;Brasil;1987;0
10;Bulgária;1987;0
11;Canada;1987;0
12;Chile;1987;450
13;Croácia;1987;0
14;Cuba;1987;0
15;Emirados Árabes Unidos;1987;0
16;Eslovênia;1987;0
17;Espanha;1987;35910
18;Estados Unidos;1987;0
19;França;1987;15550
20;Geórgia;1987;0
21;Granada;1987;0
22;Grécia;1987;0
23;Hong Kong;1987;0
24;Hungria;1987;0
25;Indonésia;1987;0
26;Irlanda;1987;0
27;Israel;1987;765
28;Itália;1987;16640
29;Japão;1987;0
30;Luxemburgo;1987;0
31;México;1987;0
32;Moldávia;1987;0
33;Nova Zelândia;1987;0
34;Países Baixos;1987;0
35;Panamá;1987;0
36;Peru;1987;0
37;Portugal;1987;228933
38;Reino Unido;1987;0
39;Romênia;1987;0
40;Suíça;1987;0
41;Tunísia;1987;0
42;Ucrânia;1987;0
43;Uruguai;1987;0
44;Não consta na tabela;1987;0
45;Não declarados;1987;0
46;Outros;1987;0
1;Africa do Sul;1987;0
2;Alemanha;1987;2000
3;Argentina;1987;0
4;Austrália;1987;0
5;Áustria;1987;0
6;Bermudas;1987;0
7;Bahamas;1987;0
8;Bélgica;1987;0
9;Brasil;1987;0
10;Bulgária;1987;0
11;Canada;1987;0
12;Chile;1987;482
13;Croácia;1987;0
14;Cuba;1987;0
15;Emirados Árabes Unidos;1987;0
16;Eslovênia;1987;0
17;Espanha;1987;52044
18;Estados Unidos;1987;0
19;França;1987;135589
20;Geórgia;1987;0
21;Granada;1987;0
22;Grécia;1987;0
23;Hong Kong;1987;0
24;Hungria;1987;0
25;Indonésia;1987;0
26;Irlanda;1987;0
27;Israel;1987;1720
28;Itália;1987;22399
29;Japão;1987;0
30;Luxemburgo;1987;0
31;México;1987;0
32;Moldávia;1987;0
33;Nova Zelândia;1987;0
34;Países Baixos;1987;0
35;Panamá;1987;0
36;Peru;1987;0
37;Portugal;1987;273749
38;Reino Unido;1987;0
39;Romênia;1987;0
40;Suíça;1987;0
41;Tunísia;1987;0
42;Ucrânia;1987;0
43;Uruguai;1987;0
44;Não consta na tabela;1987;0
45;Não declarados;1987;0
46;Outros;1987;0
1;Africa do Sul;1988;0
2;Alemanha;1988;450
3;Argentina;1988;315
4;Austrália;1988;0
5;Áustria;1988;0
6;Bermudas;1988;0
7;Bahamas;1988;0
8;Bélgica;1988;0
9;Brasil;1988;0
10;Bulgária;1988;0
11;Canada;1988;0
12;Chile;1988;0
13;Croácia;1988;0
14;Cuba;1988;0
15;Emirados Árabes Unidos;1988;0
16;Eslovênia;1988;0
17;Espanha;1988;41070
18;Estados Unidos;1988;0
19;França;1988;32809
20;Geórgia;1988;0
21;Granada;1988;0
22;Grécia;1988;0
23;Hong Kong;1988;0
24;Hungria;1988;0
25;Indonésia;1988;0
26;Irlanda;1988;0
27;Israel;1988;0
28;Itália;1988;31077
29;Japão;1988;0
30;Luxemburgo;1988;0
31;México;1988;0
32;Moldávia;1988;0
33;Nova Zelândia;1988;0
34;Países Baixos;1988;0
35;Panamá;1988;0
36;Peru;1988;0
37;Portugal;1988;225450
38;Reino Unido;1988;0
39;Romênia;1988;0
40;Suíça;1988;0
41;Tunísia;1988;0
42;Ucrânia;1988;0
43;Uruguai;1988;0
44;Não consta na tabela;1988;0
45;Não declarados;1988;0
46;Outros;1988;1800
1;Africa do Sul;1988;0
2;Alemanha;1988;534
3;Argentina;1988;840
4;Austrália;1988;0
5;Áustria;1988;0
6;Bermudas;1988;0
7;Bahamas;1988;0
8;Bélgica;1988;0
9;Brasil;1988;0
10;Bulgária;1988;0
11;Canada;1988;0
12;Chile;1988;0
13;Croácia;1988;0
14;Cuba;1988;0
15;Emirados Árabes Unidos;1988;0
16;Eslovênia;1988;0
17;Espanha;1988;54402
18;Estados Unidos;1988;0
19;França;1988;204117
20;Geórgia;1988;0
21;Granada;1988;0
22;Grécia;1988;0
23;Hong Kong;1988;0
24;Hungria;1988;0
25;Indonésia;1988;0
26;Irlanda;1988;0
27;Israel;1988;0
28;Itália;1988;39084
29;Japão;1988;0
30;Luxemburgo;1988;0
31;México;1988;0
32;Moldávia;1988;0
33;Nova Zelândia;1988;0
34;Países Baixos;1988;0
35;Panamá;1988;0
36;Peru;1988;0
37;Portugal;1988;303888
38;Reino Unido;1988;0
39;Romênia;1988;0
40;Suíça;1988;0
41;Tunísia;1988;0
42;Ucrânia;1988;0
43;Uruguai;1988;0
44;Não consta na tabela;1988;0
45;Não declarados;1988;0
46;Outros;1988;2600
1;Africa do Sul;1989;0
2;Alemanha;1989;9000
3;Argentina;1989;5176
4;Austrália;1989;0
5;Áustria;1989;0
6;Bermudas;1989;0
7;Bahamas;1989;0
8;Bélgica;1989;0
9;Brasil;1989;0
10;Bulgária;1989;0
11;Canada;1989;0
12;Chile;1989;7449
13;Croácia;1989;0
14;Cuba;1989;0
15;Emirados Árabes Unidos;1989;0
16;Eslovênia;1989;0
17;Espanha;1989;58995
18;Estados Unidos;1989;0
19;França;1989;52601
20;Geórgia;1989;0
21;Granada;1989;0
22;Grécia;1989;0
23;Hong Kong;1989;0
24;Hungria;1989;0
25;Indonésia;1989;0
26;Irlanda;1989;0
27;Israel;1989;0
28;Itália;1989;26802
29;Japão;1989;0
30;Luxemburgo;1989;0
31;México;1989;0
32;Moldávia;1989;0
33;Nova Zelândia;1989;0
34;Países Baixos;1989;0
35;Panamá;1989;0
36;Peru;1989;0
37;Portugal;1989;7740
38;Reino Unido;1989;0
39;Romênia;1989;0
40;Suíça;1989;0
41;Tunísia;1989;0
42;Ucrânia;1989;0
43;Uruguai;1989;0
44;Não consta na tabela;1989;0
45;Não declarados;1989;0
46;Outros;1989;0
1;Africa do Sul;1989;0
2;Alemanha;1989;17431
3;Argentina;1989;15000
4;Austrália;1989;0
5;Áustria;1989;0
6;Bermudas;1989;0
7;Bahamas;1989;0
8;Bélgica;1989;0
9;Brasil;1989;0
10;Bulgária;1989;0
11;Canada;1989;0
12;Chile;1989;12675
13;Croácia;1989;0
14;Cuba;1989;0
15;Emirados Árabes Unidos;1989;0
16;Eslovênia;1989;0
17;Espanha;1989;143790
18;Estados Unidos;1989;0
19;França;1989;358096
20;Geórgia;1989;0
21;Granada;1989;0
22;Grécia;1989;0
23;Hong Kong;1989;0
24;Hungria;1989;0
25;Indonésia;1989;0
26;Irlanda;1989;0
27;Israel;1989;0
28;Itália;1989;68918
29;Japão;1989;0
30;Luxemburgo;1989;0
31;México;1989;0
32;Moldávia;1989;0
33;Nova Zelândia;1989;0
34;Países Baixos;1989;0
35;Panamá;1989;0
36;Peru;1989;0
37;Portugal;1989;16240
38;Reino Unido;1989;0
39;Romênia;1989;0
40;Suíça;1989;0
41;Tunísia;1989;0
42;Ucrânia;1989;0
43;Uruguai;1989;0
44;Não consta na tabela;1989;0
45;Não declarados;1989;0
46;Outros;1989;0
1;Africa do Sul;1990;0
2;Alemanha;1990;12613
3;Argentina;1990;4500
4;Austrália;1990;0
5;Áustria;1990;0
6;Bermudas;1990;0
7;Bahamas;1990;0
8;Bélgica;1990;0
9;Brasil;1990;0
10;Bulgária;1990;0
11;Canada;1990;0
12;Chile;1990;540
13;Croácia;1990;0
14;Cuba;1990;0
15;Emirados Árabes Unidos;1990;0
16;Eslovênia;1990;0
17;Espanha;1990;121856
18;Estados Unidos;1990;0
19;França;1990;32371
20;Geórgia;1990;0
21;Granada;1990;0
22;Grécia;1990;0
23;Hong Kong;1990;0
24;Hungria;1990;0
25;Indonésia;1990;0
26;Irlanda;1990;0
27;Israel;1990;0
28;Itália;1990;24120
29;Japão;1990;0
30;Luxemburgo;1990;0
31;México;1990;0
32;Moldávia;1990;0
33;Nova Zelândia;1990;0
34;Países Baixos;1990;0
35;Panamá;1990;0
36;Peru;1990;0
37;Portugal;1990;9467
38;Reino Unido;1990;0
39;Romênia;1990;0
40;Suíça;1990;0
41;Tunísia;1990;0
42;Ucrânia;1990;0
43;Uruguai;1990;0
44;Não consta na tabela;1990;0
45;Não declarados;1990;0
46;Outros;1990;1170
1;Africa do Sul;1990;0
2;Alemanha;1990;29121
3;Argentina;1990;20000
4;Austrália;1990;0
5;Áustria;1990;0
6;Bermudas;1990;0
7;Bahamas;1990;0
8;Bélgica;1990;0
9;Brasil;1990;0
10;Bulgária;1990;0
11;Canada;1990;0
12;Chile;1990;1200
13;Croácia;1990;0
14;Cuba;1990;0
15;Emirados Árabes Unidos;1990;0
16;Eslovênia;1990;0
17;Espanha;1990;355275
18;Estados Unidos;1990;0
19;França;1990;448505
20;Geórgia;1990;0
21;Granada;1990;0
22;Grécia;1990;0
23;Hong Kong;1990;0
24;Hungria;1990;0
25;Indonésia;1990;0
26;Irlanda;1990;0
27;Israel;1990;0
28;Itália;1990;73084
29;Japão;1990;0
30;Luxemburgo;1990;0
31;México;1990;0
32;Moldávia;1990;0
33;Nova Zelândia;1990;0
34;Países Baixos;1990;0
35;Panamá;1990;0
36;Peru;1990;0
37;Portugal;1990;24269
38;Reino Unido;1990;0
39;Romênia;1990;0
40;Suíça;1990;0
41;Tunísia;1990;0
42;Ucrânia;1990;0
43;Uruguai;1990;0
44;Não consta na tabela;1990;0
45;Não declarados;1990;0
46;Outros;1990;5042
1;Africa do Sul;1991;0
2;Alemanha;1991;11275
3;Argentina;1991;24889
4;Austrália;1991;0
5;Áustria;1991;0
6;Bermudas;1991;0
7;Bahamas;1991;0
8;Bélgica;1991;0
9;Brasil;1991;0
10;Bulgária;1991;0
11;Canada;1991;0
12;Chile;1991;10800
13;Croácia;1991;0
14;Cuba;1991;0
15;Emirados Árabes Unidos;1991;0
16;Eslovênia;1991;0
17;Espanha;1991;92798
18;Estados Unidos;1991;0
19;França;1991;33945
20;Geórgia;1991;0
21;Granada;1991;0
22;Grécia;1991;0
23;Hong Kong;1991;0
24;Hungria;1991;0
25;Indonésia;1991;0
26;Irlanda;1991;0
27;Israel;1991;0
28;Itália;1991;35118
29;Japão;1991;0
30;Luxemburgo;1991;0
31;México;1991;0
32;Moldávia;1991;0
33;Nova Zelândia;1991;0
34;Países Baixos;1991;0
35;Panamá;1991;0
36;Peru;1991;0
37;Portugal;1991;4185
38;Reino Unido;1991;0
39;Romênia;1991;0
40;Suíça;1991;0
41;Tunísia;1991;0
42;Ucrânia;1991;0
43;Uruguai;1991;0
44;Não consta na tabela;1991;0
45;Não declarados;1991;0
46;Outros;1991;3935
1;Africa do Sul;1991;0
2;Alemanha;1991;41978
3;Argentina;1991;83975
4;Austrália;1991;0
5;Áustria;1991;0
6;Bermudas;1991;0
7;Bahamas;1991;0
8;Bélgica;1991;0
9;Brasil;1991;0
10;Bulgária;1991;0
11;Canada;1991;0
12;Chile;1991;28600
13;Croácia;1991;0
14;Cuba;1991;0
15;Emirados Árabes Unidos;1991;0
16;Eslovênia;1991;0
17;Espanha;1991;294496
18;Estados Unidos;1991;0
19;França;1991;353361
20;Geórgia;1991;0
21;Granada;1991;0
22;Grécia;1991;0
23;Hong Kong;1991;0
24;Hungria;1991;0
25;Indonésia;1991;0
26;Irlanda;1991;0
27;Israel;1991;0
28;Itália;1991;101279
29;Japão;1991;0
30;Luxemburgo;1991;0
31;México;1991;0
32;Moldávia;1991;0
33;Nova Zelândia;1991;0
34;Países Baixos;1991;0
35;Panamá;1991;0
36;Peru;1991;0
37;Portugal;1991;11095
38;Reino Unido;1991;0
39;Romênia;1991;0
40;Suíça;1991;0
41;Tunísia;1991;0
42;Ucrânia;1991;0
43;Uruguai;1991;0
44;Não consta na tabela;1991;0
45;Não declarados;1991;0
46;Outros;1991;12358
1;Africa do Sul;1992;0
2;Alemanha;1992;6059
3;Argentina;1992;7020
4;Austrália;1992;0
5;Áustria;1992;0
6;Bermudas;1992;0
7;Bahamas;1992;0
8;Bélgica;1992;0
9;Brasil;1992;0
10;Bulgária;1992;0
11;Canada;1992;0
12;Chile;1992;0
13;Croácia;1992;0
14;Cuba;1992;0
15;Emirados Árabes Unidos;1992;0
16;Eslovênia;1992;0
17;Espanha;1992;63633
18;Estados Unidos;1992;0
19;França;1992;15001
20;Geórgia;1992;0
21;Granada;1992;0
22;Grécia;1992;0
23;Hong Kong;1992;0
24;Hungria;1992;0
25;Indonésia;1992;0
26;Irlanda;1992;0
27;Israel;1992;0
28;Itália;1992;17241
29;Japão;1992;0
30;Luxemburgo;1992;0
31;México;1992;0
32;Moldávia;1992;0
33;Nova Zelândia;1992;0
34;Países Baixos;1992;0
35;Panamá;1992;0
36;Peru;1992;0
37;Portugal;1992;4545
38;Reino Unido;1992;0
39;Romênia;1992;0
40;Suíça;1992;0
41;Tunísia;1992;0
42;Ucrânia;1992;0
43;Uruguai;1992;0
44;Não consta na tabela;1992;0
45;Não declarados;1992;0
46;Outros;1992;688
1;Africa do Sul;1992;0
2;Alemanha;1992;13660
3;Argentina;1992;18650
4;Austrália;1992;0
5;Áustria;1992;0
6;Bermudas;1992;0
7;Bahamas;1992;0
8;Bélgica;1992;0
9;Brasil;1992;0
10;Bulgária;1992;0
11;Canada;1992;0
12;Chile;1992;0
13;Croácia;1992;0
14;Cuba;1992;0
15;Emirados Árabes Unidos;1992;0
16;Eslovênia;1992;0
17;Espanha;1992;215873
18;Estados Unidos;1992;0
19;França;1992;156403
20;Geórgia;1992;0
21;Granada;1992;0
22;Grécia;1992;0
23;Hong Kong;1992;0
24;Hungria;1992;0
25;Indonésia;1992;0
26;Irlanda;1992;0
27;Israel;1992;0
28;Itália;1992;50017
29;Japão;1992;0
30;Luxemburgo;1992;0
31;México;1992;0
32;Moldávia;1992;0
33;Nova Zelândia;1992;0
34;Países Baixos;1992;0
35;Panamá;1992;0
36;Peru;1992;0
37;Portugal;1992;10906
38;Reino Unido;1992;0
39;Romênia;1992;0
40;Suíça;1992;0
41;Tunísia;1992;0
42;Ucrânia;1992;0
43;Uruguai;1992;0
44;Não consta na tabela;1992;0
45;Não declarados;1992;0
46;Outros;1992;3301
1;Africa do Sul;1993;0
2;Alemanha;1993;39747
3;Argentina;1993;17205
4;Austrália;1993;0
5;Áustria;1993;0
6;Bermudas;1993;0
7;Bahamas;1993;0
8;Bélgica;1993;0
9;Brasil;1993;0
10;Bulgária;1993;0
11;Canada;1993;0
12;Chile;1993;1560
13;Croácia;1993;0
14;Cuba;1993;0
15;Emirados Árabes Unidos;1993;0
16;Eslovênia;1993;0
17;Espanha;1993;172218
18;Estados Unidos;1993;0
19;França;1993;54501
20;Geórgia;1993;0
21;Granada;1993;0
22;Grécia;1993;0
23;Hong Kong;1993;0
24;Hungria;1993;0
25;Indonésia;1993;0
26;Irlanda;1993;0
27;Israel;1993;0
28;Itália;1993;132449
29;Japão;1993;0
30;Luxemburgo;1993;0
31;México;1993;0
32;Moldávia;1993;0
33;Nova Zelândia;1993;0
34;Países Baixos;1993;0
35;Panamá;1993;0
36;Peru;1993;0
37;Portugal;1993;6870
38;Reino Unido;1993;0
39;Romênia;1993;0
40;Suíça;1993;0
41;Tunísia;1993;0
42;Ucrânia;1993;0
43;Uruguai;1993;0
44;Não consta na tabela;1993;0
45;Não declarados;1993;0
46;Outros;1993;3902
1;Africa do Sul;1993;0
2;Alemanha;1993;110948
3;Argentina;1993;63626
4;Austrália;1993;0
5;Áustria;1993;0
6;Bermudas;1993;0
7;Bahamas;1993;0
8;Bélgica;1993;0
9;Brasil;1993;0
10;Bulgária;1993;0
11;Canada;1993;0
12;Chile;1993;4860
13;Croácia;1993;0
14;Cuba;1993;0
15;Emirados Árabes Unidos;1993;0
16;Eslovênia;1993;0
17;Espanha;1993;584200
18;Estados Unidos;1993;0
19;França;1993;543157
20;Geórgia;1993;0
21;Granada;1993;0
22;Grécia;1993;0
23;Hong Kong;1993;0
24;Hungria;1993;0
25;Indonésia;1993;0
26;Irlanda;1993;0
27;Israel;1993;0
28;Itália;1993;265440
29;Japão;1993;0
30;Luxemburgo;1993;0
31;México;1993;0
32;Moldávia;1993;0
33;Nova Zelândia;1993;0
34;Países Baixos;1993;0
